timestamp,metric,group_key,value,n
2025-11-03 12:48:02.709840+00:00,DP[sensitive],A,0.40816326530612246,98
2025-11-03 12:48:02.709840+00:00,DP[sensitive],B,0.5,62
2025-11-03 12:48:02.709840+00:00,DP[sensitive],C,0.2,40
2025-11-03 12:48:02.709840+00:00,DP[sensitive],__DPD__,0.3,200
2025-11-03 12:48:02.709840+00:00,EO[sensitive],A::TPR,0.391304347826087,98
2025-11-03 12:48:02.709840+00:00,EO[sensitive],A::FPR,0.4230769230769231,98
2025-11-03 12:48:02.709840+00:00,EO[sensitive],B::TPR,0.4722222222222222,62
2025-11-03 12:48:02.709840+00:00,EO[sensitive],B::FPR,0.5384615384615384,62
2025-11-03 12:48:02.709840+00:00,EO[sensitive],C::TPR,0.2631578947368421,40
2025-11-03 12:48:02.709840+00:00,EO[sensitive],C::FPR,0.14285714285714285,40
2025-11-03 12:48:02.709840+00:00,EO[sensitive],__EOD__,0.3956043956043956,200
2025-11-03 12:48:02.709840+00:00,DP[overall],__overall__,0.395,200
2025-11-03 12:48:02.709840+00:00,DP[overall],__DPD__,0.0,200
2025-11-03 12:48:02.709840+00:00,EO[overall],__overall__::TPR,0.39603960396039606,200
2025-11-03 12:48:02.709840+00:00,EO[overall],__overall__::FPR,0.3939393939393939,200
2025-11-03 12:48:02.709840+00:00,EO[overall],__EOD__,0.0,200
