score_raw,score_cal,y,g
0.8302848105634345,0.8076923076923077,1,0
0.7310755763470566,0.75,1,1
0.712325221577483,0.75,0,1
0.6164585721525702,0.5844155844155844,0,0
0.8810655470614641,0.8333333333333334,0,0
0.5563175480525921,0.6119402985074627,1,1
0.7463503959012844,0.7796610169491526,1,0
0.2350248901061736,0.3333333333333333,0,1
0.2139227396199713,0.125,0,0
0.5046283846752638,0.46938775510204084,1,0
0.3720192293902765,0.35658914728682173,0,0
0.2388978860999829,0.16666666666666666,0,0
0.7663159065579525,0.75,1,1
0.4907324305010886,0.5932203389830508,1,1
0.8076773265780334,0.75,0,1
0.4282060669925389,0.35658914728682173,0,0
0.539370310509722,0.5238095238095238,1,0
0.2617478445845442,0.16666666666666666,0,0
0.8277351889785013,0.8076923076923077,1,0
0.4750676279320928,0.5714285714285714,0,1
0.5611526751075125,0.6119402985074627,1,1
0.4297770149592915,0.35658914728682173,1,0
0.4370796970707775,0.5714285714285714,0,1
0.5603515361431858,0.5652173913043478,1,0
0.8941159921309412,1.0,1,0
0.4999925370701051,0.5932203389830508,1,1
0.7121572847912933,0.7796610169491526,1,0
0.677174761368335,0.7796610169491526,0,0
0.750953060297413,0.7796610169491526,0,0
0.3361590009405166,0.35658914728682173,1,0
0.4334717336806226,0.35658914728682173,0,0
0.3003376710535166,0.2857142857142857,0,0
0.46998492511739,0.4166666666666667,1,0
0.849733081960089,0.8235294117647058,1,1
0.6631389479511054,0.75,0,1
0.7198621684490395,0.75,1,1
0.5273259294567225,0.5238095238095238,1,0
0.4873430058558398,0.5932203389830508,1,1
0.3736509953544623,0.35658914728682173,1,0
0.2778450346185875,0.2777777777777778,0,0
0.3977605537575655,0.5,0,1
0.7270811226052043,0.75,1,1
0.4857377479358117,0.46938775510204084,1,0
0.2551610362664419,0.16666666666666666,0,0
0.167983143488852,0.0,0,0
0.6166680730935127,0.6666666666666666,1,1
0.5670226630168328,0.5652173913043478,0,0
0.4314614772910067,0.5714285714285714,1,1
0.5963945726368088,0.5844155844155844,0,0
0.5174844208596935,0.5932203389830508,1,1
0.2432822317938992,0.16666666666666666,0,0
0.2633330077647144,0.2777777777777778,1,0
0.3202678469136641,0.391304347826087,0,1
0.5081581908925524,0.5932203389830508,1,1
0.325479534742276,0.391304347826087,0,1
0.6548854297673979,0.5844155844155844,0,0
0.2318203789023789,0.25,0,1
0.4206701671876784,0.5714285714285714,0,1
0.6455155887578927,0.75,1,1
0.4114174015051433,0.5,0,1
0.6663049006056282,0.75,1,1
0.5028804403794631,0.5932203389830508,0,1
0.6438217015608805,0.5844155844155844,1,0
0.4162586421909456,0.35658914728682173,1,0
0.5121593660541369,0.46938775510204084,0,0
0.6019637458431841,0.5844155844155844,0,0
0.627923602628661,0.5844155844155844,1,0
0.6591724987788476,0.5844155844155844,0,0
0.4405888036009356,0.35658914728682173,0,0
0.8008111033142694,0.8076923076923077,0,0
0.6934956767757454,0.7796610169491526,0,0
0.6829441538166978,0.7796610169491526,1,0
0.732846106664302,0.75,0,1
0.6264388054457798,0.5844155844155844,0,0
0.6771927117236487,0.7796610169491526,1,0
0.2865531761961402,0.2777777777777778,0,0
0.4348300873520745,0.5714285714285714,0,1
0.4478808631791443,0.5714285714285714,1,1
0.1344641370716263,0.0,0,0
0.8315587148306738,0.8235294117647058,1,1
0.6683229532372252,0.75,0,1
0.7859603579273791,0.8076923076923077,1,0
0.7552467052075696,0.75,1,1
0.2752677793431064,0.2777777777777778,0,0
0.4677609632154002,0.4166666666666667,1,0
0.7513447376403236,0.75,0,1
0.6719086189096604,0.75,0,1
0.2381285737273732,0.391304347826087,1,1
0.1189150381427935,0.0,0,0
0.3277660857495791,0.4,1,1
0.5325703995436663,0.5238095238095238,1,0
0.7658101801548655,0.75,0,1
0.7260756014832535,0.75,1,1
0.272757584898705,0.2777777777777778,0,0
0.3664216182624437,0.35658914728682173,1,0
0.6067527545081304,0.5844155844155844,0,0
0.3909189243868772,0.5,0,1
0.3244808655370922,0.35658914728682173,1,0
0.4252592737962516,0.35658914728682173,0,0
0.6275272054294246,0.75,1,1
0.2990075261848743,0.391304347826087,0,1
0.444438548439235,0.4166666666666667,1,0
0.5883255459710179,0.5844155844155844,1,0
0.7550494474338849,0.7796610169491526,1,0
0.3971318837204943,0.35658914728682173,0,0
0.4612088327465704,0.5714285714285714,1,1
0.3599074836985083,0.47619047619047616,0,1
0.6797846738153399,0.7796610169491526,0,0
0.4284367960593656,0.35658914728682173,1,0
0.5814037052696305,0.5844155844155844,0,0
0.4110958997227163,0.5,0,1
0.517958766785329,0.46938775510204084,0,0
0.1911298998351747,0.25,0,1
0.8219175283268186,0.8235294117647058,1,1
0.4129044732907969,0.5714285714285714,1,1
0.5853334653000016,0.5844155844155844,1,0
0.5044312936400912,0.5932203389830508,0,1
0.343793032253108,0.35658914728682173,0,0
0.7452562929971321,0.7796610169491526,1,0
0.7948556786606162,0.75,0,1
0.4820441937524256,0.5932203389830508,1,1
0.3416001968373674,0.4,0,1
0.4560660288202118,0.5714285714285714,1,1
0.5122884740336852,0.46938775510204084,1,0
0.335810934040347,0.35658914728682173,0,0
0.6906569553054281,0.75,0,1
0.6207990128395509,0.5844155844155844,0,0
0.7238033780633338,0.75,1,1
0.8244659023626781,0.8076923076923077,1,0
0.437504045457612,0.35658914728682173,0,0
0.7882640531970774,0.75,1,1
0.6170772884789881,0.5844155844155844,1,0
0.3577015692934337,0.47619047619047616,1,1
0.4166483526676603,0.35658914728682173,0,0
0.6657776984935667,0.7796610169491526,1,0
0.4113593805903084,0.35658914728682173,0,0
0.4313093343785231,0.5714285714285714,1,1
0.3338168131662397,0.35658914728682173,0,0
0.7570165673844571,0.7796610169491526,0,0
0.532940668322532,0.6119402985074627,1,1
0.5106335085893621,0.46938775510204084,0,0
0.7002589796542897,0.75,0,1
0.4349453317936907,0.35658914728682173,1,0
0.4098191651389357,0.35658914728682173,1,0
0.6035379738924003,0.5844155844155844,1,0
0.761250715470586,0.75,1,1
0.4330878324336943,0.35658914728682173,0,0
0.5398198365276694,0.5238095238095238,0,0
0.5708562314787384,0.6119402985074627,0,1
0.2343885911725273,0.125,0,0
0.235734276418153,0.16666666666666666,1,0
0.4388256474767516,0.35658914728682173,0,0
0.7210900653112634,0.75,1,1
0.5497373232133753,0.5652173913043478,1,0
0.5563253989895772,0.6119402985074627,1,1
0.8034295758527381,0.75,0,1
