f0,f1,f2,f3,f4,f5,y,s,score,g
1.764052345967664,0.4001572083672233,0.9787379841057392,2.240893199201458,1.8675579901499677,-0.977277879876411,1,0,0.8302848105634345,0
0.9500884175255894,-0.1513572082976979,-0.1032188517935578,0.4105985019383723,0.144043571160878,1.454273506962975,1,1,0.7310755763470566,1
0.7610377251469934,0.1216750164928284,0.4438632327454256,0.3336743273742668,1.494079073157606,-0.2051582637658008,0,1,0.712325221577483,1
0.3130677016509013,-0.8540957393017248,-2.5529898158340787,0.6536185954403606,0.8644361988595055,-0.7421650204064417,0,0,0.6164585721525702,0
2.2697546239876076,-1.4543656745987648,0.045758517301446,-0.1871838500258336,1.5327792143584575,1.469358769900285,0,0,0.8810655470614641,0
0.1549474256969163,0.3781625196021735,-0.8877857476301128,-1.980796468223927,-0.3479121493261526,0.15634896910398,1,1,0.5563175480525921,1
1.230290680727721,1.2023798487844115,-0.3873268174079523,-0.3023027505753355,-1.0485529650670926,-1.4200179371789752,1,0,0.7463503959012844,0
-1.7062701906250126,1.9507753952317897,-0.5096521817516535,-0.4380743016111864,-1.2527953600499264,0.7774903558319103,0,1,0.2350248901061736,1
-1.6138978475579515,-0.2127402802139687,-0.8954665611936756,0.386902497859262,-0.510805137568873,-1.180632184122412,0,0,0.2139227396199713,0
-0.0281822283386548,0.4283318705304176,0.0665172223831678,0.3024718977397814,-0.6343220936809636,-0.3627411659871381,1,0,0.5046283846752638,0
-0.672460447775951,-0.3595531615405413,-0.813146282044454,-1.7262826023316769,0.1774261422537528,-0.4017809362082619,0,0,0.3720192293902765,0
-1.6301983469660446,0.4627822555257742,-0.9072983643832422,0.0519453957961389,0.7290905621775369,0.1289829107574106,0,0,0.2388978860999829,0
1.139400684543301,-1.2348258203536526,0.402341641177549,-0.6848100909403132,-0.8707971491818818,-0.5788496647644155,1,1,0.7663159065579525,1
-0.3115525321273726,0.0561653422297454,-1.1651498407833565,0.9008264869541872,0.4656624397304598,-1.5362436862772235,1,1,0.4907324305010886,1
1.4882521937955997,1.8958891760305832,1.1787795711596507,-0.1799248358123509,-1.0707526215105427,1.0544517269311369,0,1,0.8076773265780334,1
